Cancer1,Cancer2,Cancer3,Cancer4,Cancer5,Normal1,Normal2,Normal3,Normal4,Normal5
12558,5737,16250,5967,11406,14587,18282,11277,8827,5286
0,0,1,8,0,0,1,0,0,2
1072,1035,2916,985,1315,1225,2230,890,810,649
5066,1994,3961,509,6239,6114,21147,5934,6882,2865
2959,5211,5451,1358,2902,1985,3571,1453,1232,989
20,66,101,7,115,24,27,15,9,4
4342,757,13306,734,3845,2143,3613,542,842,958
2,2,17,0,11,1,1,4,1,0
613,804,659,2688,418,1041,1666,619,565,462
4489,3070,5288,2203,3459,4104,8766,3456,3536,1696
3369,1984,2830,1621,2014,1152,3078,741,923,541
1001,1181,1954,1261,2075,1692,4967,1349,1686,1058
1015,319,3110,461,2799,4093,5105,5645,4309,1206
688,1046,2066,804,1078,890,1690,659,662,446
2313,5130,4895,2919,5144,9403,38049,5895,6533,4586
426,565,741,812,633,600,1299,287,464,206
1770,653,3214,1363,1168,1028,1545,748,781,642
41,5,75,33,27,17,15,14,5,3
876,1616,1771,981,1036,1599,3148,995,956,703
15,76,128,62,191,4,104,12,31,4
769,1390,2314,560,749,393,547,246,248,206
470,377,471,547,400,198,322,210,126,133
339,117,176,321,143,311,610,122,185,72
256,217,641,424,225,252,956,227,406,275
0,0,0,0,0,1,0,0,0,0
468,990,965,475,776,700,920,417,357,260
1232,931,1701,1023,1296,1016,1975,812,609,323
1913,3260,6096,2110,2634,3382,5942,1707,2197,1666
2448,3596,5571,3913,3156,3336,4773,2987,2408,1833
487,1617,2413,475,1144,2914,4213,1919,2156,1355
1757,3464,4072,1942,3130,2861,3811,1698,1637,1073
4002,6554,1651,193,1086,725,1042,812,675,150
3255,7186,6316,1264,7688,4776,7898,3162,3322,2345
743,880,1994,407,818,966,2010,732,738,464
1,183,5,7,5,6,13,9,4,1
2951,5080,4316,1683,3595,4287,7751,7257,6404,2475
8,16,36,15,5,7,45,8,6,8
0,4,2,4,2,2,18,2,1,1
7,1297,149,747,42,124,158,160,177,53
1464,2743,2295,1313,1640,1956,2384,896,868,680
138,1571,525,2024,620,81,7612,122,620,44
1781,3880,4981,899,1738,2211,3501,986,1029,955
83,47,507,140,112,512,243,164,185,262
3699,4427,6590,3649,5709,7312,13028,5875,5524,3365
197,82,71,2549,40,202,351,130,69,57
42,469,34,11,20,226,14561,333,856,112
2944,5781,4958,4126,3451,6880,8872,4519,3653,2752
1,717,795,75,16,104,185,220,97,13
1871,379,3115,1136,2422,5118,6649,2804,1252,1942
450,1062,2617,616,904,961,1303,437,429,477
235,125,914,79,290,563,863,234,246,327
8,1,416,911,63,8,24,4,4,0
79,39,561,218,228,127,129,36,27,68
14,3535,95,176,21,16,10,4,3,2
347,278,447,228,285,311,817,271,271,247
10,6,39,391,8,15,13,11,46,4
2,2,1,0,1,0,4,0,1,0
1059,933,2007,505,842,817,1056,281,260,299
1706,2560,3022,1056,1845,2011,3014,904,805,352
1513,2172,4243,810,768,1117,2955,625,1049,676
208,3557,3107,90,2813,12336,14108,11184,9661,4840
204,1340,1167,105,211,213,6923,205,489,153
1325,1361,3465,577,1178,1272,2045,517,587,446
1380,2520,4079,607,2007,2254,4365,1037,1269,1067
306,525,630,394,575,821,1651,620,643,438
1514,2435,2544,2367,1901,2195,3195,1125,1177,874
1675,42,136,19,49,165,211,11,107,411
888,998,2155,1312,1627,1111,1795,844,764,442
1577,129,795,286,596,2413,3160,1611,654,200
836,2471,4589,570,1171,2352,5495,2115,2441,1714
40,48,74,14,38,34,111,20,30,13
160,177,99,448,205,76,88,28,16,30
3628,3277,17115,4790,5367,4739,8069,3097,3316,2533
60,605,88,40,50,83,42,29,18,10
831,1017,1536,1273,1221,1194,1758,883,720,664
934,916,1012,326,1028,1715,3277,2352,2252,1041
68,24,165,25,85,145,36,84,37,30
21,56,110,35,20,30,169,13,35,13
2388,2961,6273,5905,3414,2989,4512,1775,1459,1757
0,0,37,1,0,5,64,3,24,9
0,398,85,0,4,0,0,0,0,0
38,236,91,61,65,167,7374,118,354,119
2833,1656,3754,1315,2981,5478,3911,2163,1614,956
102,116,316,81,341,199,641,313,138,91
6078,3942,7810,4006,5079,5191,11017,5653,4903,2683
3856,11491,8916,3635,6164,5535,13527,2815,2834,1920
3866,4026,9363,4410,8563,7026,11414,7433,6418,2857
523,216,130,1009,219,81,152,46,35,61
1154,775,1029,418,1265,1007,2449,1317,1496,536
103,1038,503,513,519,240,539,118,177,100
672,513,1170,533,498,392,811,313,355,247
502,412,1123,173,370,542,819,286,261,391
11294,6466,13410,3271,12070,4044,8737,5326,7032,3274
595,1723,1254,1234,890,1541,2472,1086,852,459
7,2,6,2,8,7,20,0,1,7
2705,924,14593,1758,4246,12774,16992,8426,6642,4636
4594,763,8107,6321,2417,4848,5742,3703,2630,2728
58,47,120,83,102,181,336,57,57,92
1626,4803,9284,1299,4877,5623,7332,1261,2203,2343
1052,1806,2926,939,1258,3351,7272,1756,1382,883
305,375,207,1112,200,164,310,109,136,59
2532,4398,5910,2797,2966,3795,6159,1980,2233,1703
4264,6730,3396,1081,3765,6324,6946,5857,5667,3325
1016,1359,1605,1162,1485,2287,3579,1933,1506,949
6075,5350,11515,11033,10874,8226,19735,10123,7950,4399
37287,46488,84387,21132,30925,31273,41614,18620,21075,17774
20824,12458,26286,15707,24426,30472,52316,26248,22021,13176
4831,3298,4429,2852,4563,4227,6358,3087,2682,1822
522,469,990,710,1202,1746,3339,2260,1521,890
10,2735,80,17,45,41,203,133,103,25
252,3,127,111,498,0,60,1,10,0
5,21,52,43,59,64,201,61,76,26
37,270,1964,211,122,375,729,282,249,110
518,381,1015,440,832,695,1793,823,829,416
299,64,679,287,415,406,411,127,143,187
789,1551,811,1883,707,993,1608,486,527,334
1194,1224,3093,1627,1873,1580,3029,1369,1160,795
147,129,351,137,28,142,251,81,152,97
4331,2698,5947,2204,4498,5184,7850,4139,2669,2264
2113,2196,3871,1405,2260,1642,2525,1478,1374,772
269,398,1149,246,703,426,430,127,214,345
630,626,929,806,576,410,801,349,338,256
2370,2031,2790,1654,2136,2019,2623,1230,972,747
530,721,937,249,665,616,1132,398,385,291
3390,3665,10040,5079,5787,4527,7086,3068,2906,2430
4464,6261,10441,4024,5690,5248,8500,2773,2923,2531
2412,2003,4365,1970,1826,2172,3480,2124,2258,1042
17600,22061,22087,9625,20742,23681,34301,15854,15700,12816
