data,time,sex,age,wings,weigh,ELL,PNW,eggs
21.08.89,1,f,3,1,"322,2","11,4","4,9",3
21.08.89,2,f,3,1,"236,5","10,3","4,5",8
21.08.89,2,m,3,1,"192,5","10,2","4,6",0
21.08.89,2,f,3,1,"304,0","11,3","5,0",19
22.08.89,1,f,3,1,"326,5","11,6","5,1",6
22.08.89,3,f,3,1,"223,8","10,8","4,9",4
23.08.89,1,m,3,1,"185,4","10,6","4,6",0
25.08.89,3,m,3,1,"188,0","9,8","4,5",0
25.08.89,3,f,3,1,"178,0","9,3","4,3",1
26.08.89,1,f,3,1,"331,0","11,3","5,1",7
29.08.89,1,f,4,1,"189,0","10,7","4,5",0
30.08.89,3,m,3,1,"184,2","9,5","4,4",0
31.08.89,3,f,4,1,"285,7","10,9","5,4",0
31.08.89,3,f,4,1,"216,7","10,2","5,1",0
01.09.89,3,m,4,1,"250,1","10,2","4,9",0
02.09.89,1,m,4,1,"265,6","10,2","4,9",0
02.09.89,3,f,3,1,"277,0","11,1","5,0",2
03.09.89,1,m,3,1,"221,9","10,8","4,7",0
03.09.89,1,f,2,1,"333,3","11,0","5,3",0
06.09.89,1,f,4,1,"273,2","11,2","5,0",0
06.09.89,1,f,3,1,"278,0","11,3","5,0",1
07.09.89,1,m,2,1,"199,6","10,5","4,5",0
09.09.89,3,f,2,1,"225,5","10,6","4,6",0
10.09.89,1,f,2,1,"236,8","11,4","5,5",0
14.09.89,3,f,4,1,"221,3","10,6","4,9",0
06.06.89,2,m,3,1,"158,2","8,0","4,5",0
09.06.89,3,m,3,1,"178,2","9,7","4,4",0
14.06.89,3,m,3,1,"225,0","11,7","4,7",0
14.06.89,3,f,1,1,"145,8","10,3","4,5",0
14.06.89,3,m,3,1,"172,5","10,3","4,2",0
18.06.89,1,f,2,1,"207,2","10,7","4,6",0
18.06.89,2,f,1,1,"159,2","10,8","4,6",0
18.06.89,3,f,1,1,"201,0","10,4","4,8",0
18.06.89,3,m,1,1,"160,2","10,0","4,7",0
18.06.89,3,f,1,1,"210,0","14,3","5,0",0
19.06.89,2,m,2,1,"189,0","10,5","4,7",0
19.06.89,3,m,2,1,"224,0","11,4","4,5",0
19.06.89,3,f,1,1,"190,0","12,1","5,1",0
19.06.89,3,m,3,1,"288,0","12,7","5,6",0
20.06.89,3,m,1,1,"172,0","11,0","4,7",0
21.06.89,1,f,1,1,"213,2","11,6","5,0",0
21.06.89,1,m,1,1,"179,0","10,2","4,8",0
21.06.89,2,m,3,1,"171,4","9,8","4,4",0
21.06.89,2,f,1,1,"224,0","10,4","4,8",0
21.06.89,3,f,1,1,"178,4","11,2","4,7",0
23.06.89,2,f,1,1,"190,8","10,7","4,4",0
27.06.89,2,m,3,1,"154,6","9,0","4,4",0
27.06.89,2,m,2,1,"120,0","8,7","4,0",0
28.06.89,1,f,2,1,"223,0","10,0","5,0",0
29.06.89,1,m,2,1,"174,0","10,3","4,2",0
02.07.89,1,f,2,1,"160,1","9,5","4,4",0
03.07.89,1,f,3,1,"302,2","11,2","5,1",5
04.07.89,1,f,3,1,"299,5","10,6","4,6",5
05.07.89,1,m,3,1,"204,0","10,2","4,4",0
06.07.89,3,m,3,1,"181,2","10,6","4,6",0
07.07.89,2,m,2,1,"181,6","10,1","4,5",0
08.07.89,2,f,4,1,"237,0","11,3","4,3",0
09.07.89,1,m,2,1,"189,5","10,8","4,8",0
09.07.89,2,f,1,1,"162,2","10,2","4,9",0
10.07.89,1,m,3,1,"205,2","10,5","4,8",0
10.07.89,1,m,3,1,"175,0","9,8","4,4",0
10.07.89,3,m,3,1,"168,0","9,7","0,0",0
10.07.89,3,m,3,1,"200,0","10,5","4,7",0
11.07.89,1,f,4,1,"154,8","9,3","4,3",0
12.07.89,1,m,3,1,"184,8","9,6","4,3",0
12.07.89,3,m,3,1,"197,8","10,5","4,6",0
13.07.89,2,f,3,1,"320,2","11,5","5,1",8
14.07.89,1,f,3,1,"266,3","11,1","4,8",26
14.07.89,3,m,3,1,"186,5","10,8","4,8",0
15.07.89,1,f,3,1,"286,9","10,4","4,8",28
15.07.89,1,f,3,1,"299,2","11,0","4,8",28
19.07.89,1,m,3,1,"230,2","10,4","4,9",0
20.07.89,2,f,3,1,"290,5","11,0","5,0",18
